[*]读入数据... ...
[*]加载模型... ...
[*]开始训练... ...
[*]次数: 1 
训练集误差: 0.0002309485716978088
测试集正确率: 0.9970717423133236
[*]次数: 2 
训练集误差: 0.1465233862400055
测试集正确率: 0.9892630551488532
[*]次数: 3 
训练集误差: 0.030717525631189346
测试集正确率: 0.9965836993655441
[*]次数: 4 
训练集误差: 0.010160780511796474
测试集正确率: 0.9941434846266471
[*]次数: 5 
训练集误差: 8.076304766291287e-06
测试集正确率: 0.9956076134699854
[*]次数: 6 
训练集误差: 5.342761869542301e-05
测试集正确率: 0.995119570522206
[*]次数: 7 
训练集误差: 3.4909135138150305e-05
测试集正确率: 0.9960956564177648
[*]次数: 8 
训练集误差: 6.230966391740367e-05
测试集正确率: 0.9956076134699854
[*]次数: 9 
训练集误差: 0.026551177725195885
测试集正确率: 0.9926793557833089
[*]次数: 10 
训练集误差: 8.255156899394933e-06
测试集正确率: 0.9980478282088824
[*]次数: 11 
训练集误差: 0.0008089233306236565
测试集正确率: 0.997559785261103
[*]次数: 12 
训练集误差: 0.02783319354057312
测试集正确率: 0.997559785261103
[*]次数: 13 
训练集误差: 0.016720758751034737
测试集正确率: 0.9946315275744265
[*]次数: 14 
训练集误差: 0.00015174785221461207
测试集正确率: 0.9941434846266471
[*]次数: 15 
训练集误差: 5.6840515753719956e-05
测试集正确率: 0.9960956564177648
[*]次数: 16 
训练集误差: 0.00011742394417524338
测试集正确率: 0.9985358711566618
[*]训练结束... ...
[*]保存模型... ...

